区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,2室1厅,94.35,180,19078,,南北,其他,无,低楼层(共33层)2014年建板楼,,-
dongfanglanhai,【南北通透+西边户+楼层好采光足+大三室+金斗公园】,3室1厅,115.6,202,17475,,南,其他,无,中楼层(共33层),,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室1厅,112,195,17411,,南北,其他,无,高楼层(共33层),,-
dongfanglanhai,东方蓝海 地铁一号线、南北通透东边户、采光好,3室2厅,132.28,228,17237,,南北,毛坯,无,高楼层(共28层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室2厅,93.02,164,17631,,南,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,东方蓝海 毛坯 高层景观 卖家诚售 价格良心 带个车位,3室2厅,94.5,162,17143,,南,其他,无,高楼层(共33层)2016年建板楼,,-
dongfanglanhai,蓝海新出边户大两房，楼层好，采光无挡,2室2厅,95,159,16737,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,【交通便利+品质小区+繁华商圈+南北通透+带车位】,3室2厅,113,205,18142,,南北,其他,无,低楼层(共33层)2016年建板楼,,-
dongfanglanhai,《为您而选，为您为家》东方蓝海三房出售！！,3室2厅,95,155,16316,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,2室2厅,83,153,18434,,南北,其他,无,中楼层(共33层),,-
dongfanglanhai,双地铁口、赠送花园、采光无遮挡、金豆公园,3室2厅,93.02,163,17524,,南,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，双地铁沿线，交通便利，繁华商圈,2室2厅,81.4,143,17568,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海三期 3室2厅 153万,3室2厅,94.7,153,16157,,南北,其他,无,低楼层(共33层),,-
dongfanglanhai,东方蓝海四房 毛坯小三房 送车位,3室2厅,94.2,168,17835,,南,其他,无,中楼层(共33层)2016年建板楼,,-
dongfanglanhai,东方南海，小区前排，无遮挡采光好，可看金斗公园,2室2厅,91.71,155,16902,,南,其他,无,中楼层(共28层)2014年建板楼,,-
dongfanglanhai,为你而选为你为家 东方蓝海一期纯毛坯房 地铁口,2室2厅,91.88,165,17959,,南,其他,无,中楼层(共33层)2014年建板楼,,-
dongfanglanhai,东方蓝海 3室2厅 225万,3室2厅,131,225,17176,,南北,其他,无,高楼层(共30层)2014年建板楼,,-
dongfanglanhai,淮矿东方蓝海 ，交通便利，品质小区，繁华商圈,3室2厅,112.76,215,19068,,南,其他,无,低楼层(共33层),,-
dongfanglanhai,【总价低+小三室+低楼层采光没问题+满2年潜力大】,3室1厅,93.78,148,15782,,南,其他,无,低楼层(共33层)2014年建板楼,,-
